time (s),pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9
-1.03E-05,-0.204301778,-0.084302702,0,-0.358713819,-0.190096259,-0.179872265,27.36608967,-0.290528312,0.11529119
-0.00001,-0.204301778,-0.168605404,-0.166993136,-0.179356909,-0.285144388,-0.269808397,27.28630515,-0.096842771,-0.11529119
-9.75E-06,-0.204301778,-0.084302702,-0.166993136,-0.179356909,-0.285144388,-0.179872265,27.28630515,-0.193685541,0.11529119
-0.0000095,-0.204301778,-0.168605404,-0.333986272,-0.179356909,-0.095048129,-0.269808397,27.20652063,-0.096842771,0
-9.25E-06,-0.204301778,-0.168605404,-0.166993136,-0.358713819,-0.190096259,-0.35974453,27.20652063,-0.096842771,0.11529119
-0.000009,-0.204301778,0,-0.333986272,-0.358713819,-0.285144388,-0.269808397,27.20652063,-0.193685541,0.11529119
-8.75E-06,-0.408603556,-0.084302702,-0.333986272,-0.358713819,-0.190096259,-0.35974453,27.04695159,-0.193685541,0
-0.0000085,-0.408603556,-0.168605404,-0.166993136,-0.358713819,-0.285144388,-0.35974453,27.12673611,-0.193685541,0.11529119
-8.25E-06,-0.204301778,-0.084302702,-0.500979408,-0.358713819,-0.380192517,-0.269808397,27.04695159,-0.193685541,0
-0.000008,0,-0.084302702,-0.333986272,-0.358713819,-0.285144388,-0.35974453,27.20652063,-0.193685541,-0.11529119
-7.75E-06,-0.204301778,0,-0.333986272,-0.538070728,-0.380192517,-0.449680662,27.28630515,-0.193685541,-0.11529119
-0.0000075,-0.408603556,-0.168605404,-0.333986272,-0.358713819,-0.190096259,-0.35974453,27.20652063,-0.193685541,0
-7.25E-06,-0.612905335,-0.252908106,-0.166993136,-0.358713819,-0.380192517,-0.269808397,27.28630515,-0.096842771,-0.11529119
-0.000007,-0.408603556,-0.168605404,-0.500979408,-0.179356909,-0.380192517,-0.35974453,27.12673611,-0.193685541,0.11529119
-6.75E-06,-0.408603556,-0.252908106,-0.500979408,-0.538070728,-0.285144388,-0.35974453,27.20652063,-0.193685541,0
-0.0000065,-0.204301778,-0.168605404,-0.500979408,-0.358713819,-0.190096259,-0.449680662,27.04695159,-0.193685541,-0.11529119
-6.25E-06,0,-0.168605404,-0.333986272,-0.358713819,-0.380192517,-0.449680662,27.12673611,-0.193685541,0
-0.000006,-0.204301778,-0.168605404,-0.667972544,-0.538070728,-0.380192517,-0.35974453,27.04695159,-0.193685541,0
-5.75E-06,-0.204301778,-0.252908106,-0.500979408,-0.538070728,-0.285144388,-0.35974453,27.04695159,-0.096842771,0
-0.0000055,0,0,-0.83496568,-0.896784547,-0.380192517,-0.35974453,27.12673611,-0.290528312,-0.11529119
-5.25E-06,-0.204301778,-0.168605404,-0.667972544,-0.717427637,-0.380192517,-0.35974453,27.04695159,-0.193685541,0.11529119
-0.000005,-0.204301778,-0.252908106,-0.667972544,-0.717427637,-0.475240647,-0.449680662,27.12673611,-0.193685541,0
-4.75E-06,-0.408603556,-0.168605404,-0.500979408,-0.717427637,-0.475240647,-0.539616794,27.12673611,-0.290528312,0
-0.0000045,-0.408603556,-0.168605404,-0.83496568,-0.896784547,-0.475240647,-0.629552927,27.04695159,-0.290528312,0.11529119
-4.25E-06,-0.612905335,-0.168605404,-0.83496568,-0.717427637,-0.665336905,-0.539616794,26.96716708,-0.193685541,-0.11529119
-0.000004,-0.408603556,-0.252908106,-1.001958816,-1.255498365,-0.665336905,-0.629552927,26.88738256,-0.290528312,-0.11529119
-3.75E-06,-0.204301778,-0.168605404,-1.335945088,-1.793569093,-1.045529423,-0.899361324,26.80759804,-0.290528312,-0.230582381
-0.0000035,-0.817207113,-0.252908106,-2.003917632,-2.69035364,-1.615818199,-1.349041986,26.648029,-0.290528312,-0.230582381
-3.25E-06,-0.612905335,-0.168605404,-3.005876448,-4.125208915,-2.566299492,-1.88865878,26.24910641,-0.193685541,-0.345873571
-0.000003,-0.612905335,-0.337210808,-4.174828401,-5.918778008,-3.326684527,-2.518211707,26.00975286,-0.387371083,-0.461164762
-2.75E-06,-0.817207113,-0.337210808,-5.176787217,-7.532990192,-4.087069561,-3.147764634,25.69061479,-0.387371083,-0.576455952
-0.0000025,-1.021508891,-0.505816212,-5.677766625,-8.25041783,-4.182117691,-3.597445296,25.37147672,-0.484213854,-0.691747143
-2.25E-06,-1.430112448,-0.42151351,-5.844759761,-7.891704011,-3.611828915,-3.417573031,25.45126123,-0.677899395,-0.576455952
-0.000002,-1.225810669,-0.42151351,-4.675807809,-5.739421099,-2.281155104,-2.788020104,25.77039931,-0.774742166,-0.691747143
-1.75E-06,-1.430112448,-0.42151351,-3.506855856,-3.049067459,-0.855433164,-1.978594913,26.00975286,-0.581056624,-0.461164762
-0.0000015,-1.225810669,-0.252908106,-2.170910768,-0.179356909,0.475240647,-0.899361324,26.48845997,-0.290528312,-0.345873571
-1.25E-06,-1.225810669,-0.337210808,-0.500979408,1.972926003,1.900962587,-0.089936132,26.72781352,-0.484213854,-0.345873571
-0.000001,-0.817207113,-0.168605404,1.168951952,4.304565824,3.231636397,0.899361324,27.20652063,-0.387371083,0.230582381
-7.50E-07,-0.408603556,-0.084302702,2.838883312,6.994919464,4.752406467,2.068531045,27.84479677,-0.193685541,0.11529119
-0.0000005,0,0.084302702,4.842800945,9.505916195,6.748417183,3.597445296,28.32350388,0.484213854,0.576455952
-2.50E-07,0.612905335,0,6.679725441,11.65819911,10.55034236,5.486104076,28.96178002,1.452641561,1.037620714
0,0.612905335,0.252908106,9.184622481,14.16919584,18.1541927,7.824443518,29.83940972,2.421069268,2.075241429
2.50E-07,1.021508891,0.337210808,12.35749207,15.96276493,30.60549764,11.15208042,30.71703942,2.71159758,4.496356429
0.0000005,1.430112448,0.674421616,17.03329987,18.11504784,46.47853524,17.17780129,31.5148846,3.583182517,10.14562476
7.50E-07,1.838716004,1.180237828,23.88001845,19.90861694,64.8228242,28.8694985,32.15316074,6.391622868,20.98299667
0.000001,1.838716004,1.180237828,32.22967525,21.34347221,84.87797949,47.21646951,32.63186785,11.71797526,37.5849281
1.25E-06,2.043017782,1.770356742,41.2473046,23.49575512,102.5569315,69.79043874,33.34992851,17.04432765,60.41258382
0.0000015,2.247319561,3.37210808,49.5969614,25.46868113,109.2103006,91.55498278,34.38712725,19.75592523,96.26814407
1.75E-06,2.655923117,6.407005352,55.27472802,28.33839168,104.9331348,109.0025925,35.82324857,19.27171137,130.6249188
0.000002,3.268828452,10.95935126,58.78158388,36.4094526,101.5114021,120.0647367,37.89764604,20.72435294,159.2171341
2.25E-06,3.881733787,17.36635661,59.7835427,52.73093135,107.8796268,126.360266,41.64751838,31.47390049,162.0994138
0.0000025,3.881733787,25.2908106,60.61850838,75.15054502,126.8892527,134.8142625,47.55157271,53.16668113,132.7001603
2.75E-06,4.494639121,34.05829161,63.29039855,100.2605123,159.490761,152.4417444,54.81196385,73.21313467,107.9125543
0.000003,5.720449791,41.39262668,67.63222009,122.8594829,205.1138631,175.8251388,61.75321691,81.44477018,122.0933707
3.25E-06,7.559165795,49.14847527,72.64201417,137.0286787,251.9725909,202.3562979,66.06158088,91.03220448,150.5702948
0.0000035,10.21508891,55.89269143,77.31782198,139.7190324,254.253746,225.3799478,66.69985703,109.6260165,184.4659048
3.75E-06,12.87101203,58.7589833,80.49069156,138.6428909,212.7177134,220.793205,64.62545956,137.3230489,205.4489015
0.000004,14.70972803,54.5438482,81.82663665,141.1538877,162.2471568,182.8401572,63.82761438,165.2137669,204.0654072
4.25E-06,14.70972803,48.05254014,80.15670529,146.1758811,115.388429,140.5701749,66.46050347,182.6454656,183.4282841
0.0000045,14.0968227,40.29669156,76.64984943,149.4043055,107.4994343,116.3773553,73.16240298,195.8160824,145.843356
4.75E-06,13.27961559,33.4681727,75.14691121,146.8933088,128.6951671,124.1118627,83.05568321,202.304548,109.6419222
0.000005,13.27961559,31.61351325,79.82271902,133.9796113,167.7599483,154.9599561,93.26810151,192.9107993,108.8348838
5.25E-06,14.50542626,35.15422674,94.18412872,114.6090651,208.2504514,194.8915989,97.65625,183.2265222,132.3542867
0.0000055,16.13984048,36.84028078,115.5592501,102.4127952,221.937382,230.7761157,93.82659314,182.8391511,159.1018429
5.75E-06,17.36565115,39.87517805,136.266399,107.2554318,220.9869007,258.0267638,85.92792586,205.5003595,169.0168853
0.000006,17.97855649,44.00601045,145.7850077,125.3704796,214.7137242,249.8425758,80.50257864,238.233216,149.4173829
6.25E-06,19.20436715,48.05254014,142.7791313,145.2790966,175.2687505,230.955988,81.30042382,266.6081478,137.3118079
0.0000065,20.22587605,52.43628065,134.2624814,163.3941444,137.2494988,224.7503949,88.64059947,271.0629153,130.0484629
6.75E-06,20.43017782,48.38975095,127.0817765,179.3569093,128.7902152,222.3221193,100.0497855,281.9093056,114.4841522
0.000007,21.65598849,42.31995641,123.9089069,186.5311857,137.5346431,238.3307508,111.2196181,305.6357844,103.4161979
7.25E-06,25.3334205,37.09318888,124.2428932,184.3789028,179.4508682,269.4486527,116.8045343,307.5726398,90.61887573
0.0000075,30.0323614,32.11932946,130.4216392,178.4601248,210.911799,300.926299,114.3312143,282.1998339,76.32276811
7.75E-06,32.8925863,32.70944838,140.7752137,176.8459126,212.8127616,328.8964362,108.1878064,237.5553166,66.63830811
0.000008,33.09688808,36.84028078,149.2918636,184.7376166,229.2560879,326.9178413,104.5177185,193.9760698,71.82641168
8.25E-06,33.09688808,45.52345908,151.1287881,198.1893848,215.1889648,287.345943,106.3527625,172.8643457,89.58125502
0.0000085,33.70979341,55.63978332,146.7869666,205.3636612,178.1201944,238.7804315,111.6185406,169.5716915,104.107945
8.75E-06,34.52700052,63.1427238,141.4431862,206.9778734,165.6688894,194.262046,117.841733,170.7338048,83.24023954
0.000009,34.11839697,66.85204269,137.7693372,196.7545296,164.8134563,174.1163523,121.0331138,181.192824,57.87617763
9.25E-06,32.27968096,69.12821564,137.2683578,172.5413468,165.5738413,179.2427119,117.1236724,158.5316157,35.04852191
0.0000095,31.66677563,61.79388057,143.4471038,147.6107364,184.2983228,200.377703,105.8740554,128.5103568,23.17352929
9.75E-06,32.8925863,55.55548062,154.1346645,124.8324089,203.9732855,225.8296284,90.79478145,106.2365195,20.86770548
0.00001,33.70979341,60.27643193,161.3153694,109.0490009,197.5100128,227.3585427,78.1090431,79.50791477,31.70507739
1.03E-05,33.09688808,62.46830218,157.3075341,102.5921521,176.7895206,192.8230679,72.76348039,62.8509582,58.10676001
0.0000105,30.64526674,60.52934004,143.9480833,104.3857212,126.3189639,139.8506859,74.27938623,72.34154973,78.39800954
1.08E-05,27.58074006,60.95085355,128.4177216,116.9407049,79.65033238,90.29587692,79.4653799,79.70160031,69.86646144
0.000011,24.10760983,64.74447514,116.2272227,127.1640487,59.50012896,55.49059369,85.13008068,87.93323582,42.4271581
1.13E-05,22.06459205,70.13984807,110.8834423,120.8865569,45.24290956,40.65113184,87.84275429,97.9080412,14.64198119
0.0000115,20.6344796,69.54972915,112.7203668,100.97794,54.27248185,48.65544763,84.81094261,77.37737381,13.3737781
1.18E-05,19.81727249,69.63403185,119.2330991,78.55832629,75.37316656,71.13948072,74.59852431,55.49090763,31.93565977
0.000012,19.20436715,67.69506971,126.413804,65.10655809,101.3213059,107.2038698,59.59903493,32.15179988,60.6431662
1.23E-05,19.61297071,71.32008589,128.0837353,61.340063,108.5449637,138.59158,48.26963337,22.27383727,89.00479906
0.0000125,20.6344796,72.75323183,122.9069481,67.79691173,85.63836453,132.475923,48.66855596,41.54554864,101.9174124
1.28E-05,20.6344796,73.42765344,113.3883394,78.55832629,70.14551945,100.0989154,58.96075878,48.13085705,95.57639692
0.000013,18.7957636,80.50908041,104.0367237,82.86289212,48.56959409,58.45848606,71.4869281,44.06346068,76.32276811
1.33E-05,16.54844404,79.41314529,97.52399144,76.58540029,23.09669543,26.80096745,77.94947406,49.2929703,56.72326573
0.0000135,15.52693515,72.75323183,96.35503948,66.90012719,18.62943335,8.63386871,76.03464563,53.74773775,47.84584406
1.38E-05,16.13984048,70.56136158,99.02692966,59.00842317,38.49449238,14.47971732,69.2529616,78.44264429,55.57035382
